书名,作者,译者,出版社,出版时间,价格,评分,评论人数,简介
明朝那些事儿（壹）,当年明月,,中国友谊出版公司,2006-9,24.80,8.7,162977,从朱元璋的出身开始写起，到永乐大帝夺位的靖难之役结束为止。叙述了明朝最艰苦卓绝的开国过程。朱元璋pk陈友谅，谁堪问鼎天下？战太平、太湖大决战。卧榻之侧埋恶虎...
霍乱时期的爱情,[哥伦比亚] 加西亚·马尔克斯,杨玲,南海出版公司,2012-9-1,39.50元,9.0,140342,★马尔克斯唯一正式授权，首次完整翻译★《霍乱时期的爱情》是我最好的作品，是我发自内心的创作。——加西亚•马尔克斯★这部光芒闪耀、令人心碎的作品是人类有史...
恶意,[日] 东野圭吾,娄美莲,南海出版公司,2009-6,18.00,8.4,160324,畅销书作家在出国的前一晚于家中被杀。凶手很快落网，对罪行供认不讳、但求速死，却对作案动机语焉不详。他当真是罪犯？他究竟为何杀人？在彻查被害人与凶手的过去...
老人与海,海明威,吴劳,上海译文出版社,1999-10,8.20元,8.4,128366,本书讲述了一个渔夫的故事。古巴老渔夫圣地亚哥在连续八十四天没捕到鱼的情况下，终于独自钓上了一条大马林鱼，但这鱼实在大，把他的小船在海上拖了三天才筋疲力尽，被...
哈利·波特与魔法石,[英] J. K. 罗琳,苏农,人民文学出版社,2000-9,19.50元,9.1,153241,一岁的哈利・波特失去父母后，神秘地出现在姨父姨妈家的门前。哈利在姨父家饱受欺凌，度过十年极其痛苦的日子。姨父和姨妈好似凶神恶煞，他们那混世魔王儿子达力――一...
三体Ⅱ,刘慈欣,,重庆出版社,2008-5,32.00,9.3,192976,三体人在利用魔法般的科技锁死了地球人的科学之后，庞大的宇宙舰队杀气腾腾地直扑太阳系，意欲清除地球文明。面对前所未有的危局，经历过无数磨难的地球人组建起同样...
三体Ⅲ,刘慈欣,,重庆出版社,2010-11,38.00元,9.2,188026,与三体文明的战争使人类第一次看到了宇宙黑暗的真相，地球文明像一个恐惧的孩子，熄灭了寻友的篝火，在暗夜中发抖。自以为历经沧桑，其实刚刚蹒跚学步；自以为悟出了生...
简爱（英文全本）,[英] 夏洛蒂·勃朗特,,世界图书出版公司,2003-11,18.00元,8.5,166606,《简爱》是英国女作家夏洛蒂·勃朗特的代表作品。女主人公简爱是一个追赶求平等与自主的知识女性形象，小说以其感人的对于一位“灰姑娘式”人物奋斗史的刻划取胜，《简...
穆斯林的葬礼,霍达,,北京十月文艺出版社,1988-12-1,32.00,8.1,128447,一个穆斯林家族，六十年间的兴衰，三代人命运的沉浮，两个发生在不同时代、有着不同内容却又交错扭结的爱情悲剧。这部五十余万字的长篇，以独特的视角，真挚的情感，...
1984,[英] 乔治·奥威尔,刘绍铭,北京十月文艺出版社,2010-4-1,28.00,9.3,109643,★村上春树以《1Q84》向本书致敬★著名学者刘绍铭经典译本内地首次出版★62种文字风靡110个国家，全球销量超过5000万册★《时代周刊》“最好的10...
